Timestamp,PCT1402-01:meter:mA:fbk,PCT1402-01:timeConstant,PCT1402-01:timeInterval,PCT1402-01:timeInterval:fbk,PCT1402-01:zeroOffset
2022/08/10 05:38:48.859,N/A,N/A,4,N/A,N/A
2022/12/05 11:46:43.358,N/A,N/A,N/A,N/A,0.3055714373472
2022/12/07 13:44:06.898,N/A,22.49395772862618,N/A,N/A,N/A
2022/12/07 13:45:59.384,219.3130524688,N/A,N/A,N/A,N/A
2022/12/07 13:45:59.468,N/A,N/A,N/A,1 min 51 sec,N/A
2022/12/07 13:46:00.882,N/A,22.51653834002967,N/A,N/A,N/A
2022/12/07 13:46:59.361,219.5763543168,N/A,N/A,N/A,N/A
2022/12/07 13:46:59.433,N/A,N/A,N/A,57 sec,N/A
2022/12/07 13:47:59.353,219.4137766672,N/A,N/A,N/A,N/A
2022/12/07 13:47:59.384,N/A,N/A,N/A,1 min 57 sec,N/A
2022/12/07 13:48:37.839,N/A,22.593502778113834,N/A,N/A,N/A
2022/12/07 13:48:59.338,219.68906949120003,N/A,N/A,N/A,N/A
2022/12/07 13:48:59.418,N/A,N/A,N/A,20 sec,N/A
2022/12/07 13:49:59.338,219.5256924432,N/A,N/A,N/A,N/A
2022/12/07 13:49:59.419,N/A,N/A,N/A,1 min 20 sec,N/A
2022/12/07 13:50:59.344,219.36601261279998,N/A,N/A,N/A,N/A
2022/12/07 13:50:59.429,N/A,N/A,N/A,2 min 20 sec,N/A
2022/12/07 13:51:19.838,N/A,22.62247346100626,N/A,N/A,N/A
2022/12/07 13:51:59.334,219.531288232,N/A,N/A,N/A,N/A
2022/12/07 13:51:59.385,N/A,N/A,N/A,38 sec,N/A
2022/12/07 13:52:59.319,219.3676114096,N/A,N/A,N/A,N/A
2022/12/07 13:52:59.345,N/A,N/A,N/A,1 min 38 sec,N/A
2022/12/07 13:53:21.818,N/A,22.51896302949463,N/A,N/A,N/A
2022/12/07 13:53:59.324,219.6309132576,N/A,N/A,N/A,N/A
2022/12/07 13:53:59.399,N/A,N/A,N/A,36 sec,N/A
2022/12/07 13:54:59.318,219.4692349312,N/A,N/A,N/A,N/A
2022/12/07 13:54:59.406,N/A,N/A,N/A,1 min 36 sec,N/A
2022/12/07 13:55:57.804,N/A,22.550313472437917,N/A,N/A,N/A
2022/12/07 13:55:59.312,219.7248425696,N/A,N/A,N/A,N/A
2022/12/07 13:55:59.339,N/A,N/A,N/A,0 sec,N/A
2022/12/07 13:56:59.319,219.56226492,N/A,N/A,N/A,N/A
2022/12/07 13:56:59.389,N/A,N/A,N/A,1 min,N/A
2022/12/07 13:57:59.308,219.4032845632,N/A,N/A,N/A,N/A
2022/12/07 13:57:59.407,N/A,N/A,N/A,2 min,N/A
2022/12/07 13:58:32.804,N/A,22.72833271811904,N/A,N/A,N/A
2022/12/07 13:58:59.311,219.67547971840003,N/A,N/A,N/A,N/A
2022/12/07 13:58:59.394,N/A,N/A,N/A,25 sec,N/A
2022/12/07 13:59:59.313,219.515300264,N/A,N/A,N/A,N/A
2022/12/07 13:59:59.390,N/A,N/A,N/A,1 min 25 sec,N/A
2022/12/07 14:00:59.320,219.35452126080003,N/A,N/A,N/A,N/A
2022/12/07 14:00:59.350,N/A,N/A,N/A,2 min 25 sec,N/A
2022/12/07 14:01:15.814,N/A,22.748626363416367,N/A,N/A,N/A
2022/12/07 14:01:59.320,219.64340385760002,N/A,N/A,N/A,N/A
2022/12/07 14:01:59.389,N/A,N/A,N/A,42 sec,N/A
2022/12/07 14:02:59.335,219.48252492959998,N/A,N/A,N/A,N/A
2022/12/07 14:02:59.411,N/A,N/A,N/A,1 min 42 sec,N/A
2022/12/07 14:03:59.346,219.3212463024,N/A,N/A,N/A,N/A
2022/12/07 14:03:59.433,N/A,N/A,N/A,2 min 42 sec,N/A
2022/12/07 14:04:03.843,N/A,22.682602664650744,N/A,N/A,N/A
2022/12/07 14:04:59.351,219.60723108000002,N/A,N/A,N/A,N/A
2022/12/07 14:04:59.423,N/A,N/A,N/A,54 sec,N/A
2022/12/07 14:05:59.356,219.4432544832,N/A,N/A,N/A,N/A
2022/12/07 14:05:59.442,N/A,N/A,N/A,1 min 54 sec,N/A
2022/12/07 14:06:49.845,N/A,22.562639316187,N/A,N/A,N/A
2022/12/07 14:06:59.348,219.8149747392,N/A,N/A,N/A,N/A
2022/12/07 14:06:59.377,N/A,N/A,N/A,8 sec,N/A
2022/12/07 14:07:59.334,219.6515976912,N/A,N/A,N/A,N/A
2022/12/07 14:07:59.394,N/A,N/A,N/A,1 min 8 sec,N/A
2022/12/07 14:08:59.320,219.4922176352,N/A,N/A,N/A,N/A
2022/12/07 14:08:59.379,N/A,N/A,N/A,2 min 8 sec,N/A
2022/12/07 14:09:51.394,N/A,N/A,N/A,3 min,N/A
2022/12/07 14:09:59.317,219.330939008,N/A,N/A,N/A,N/A
2022/12/07 14:09:59.394,N/A,22.61157344813679,N/A,N/A,N/A
2022/12/07 14:10:06.395,N/A,22.613997615877214,N/A,N/A,N/A
2022/12/07 14:10:59.301,219.53788326880002,N/A,N/A,N/A,N/A
2022/12/07 14:10:59.378,N/A,N/A,N/A,51 sec,N/A
2022/12/07 14:11:59.291,219.3747060704,N/A,N/A,N/A,N/A
2022/12/07 14:11:59.374,N/A,N/A,N/A,1 min 51 sec,N/A
2022/12/07 14:12:22.792,N/A,22.61781626867231,N/A,N/A,N/A
2022/12/07 14:12:59.302,219.62511761919998,N/A,N/A,N/A,N/A
2022/12/07 14:12:59.373,N/A,N/A,N/A,35 sec,N/A
2022/12/07 14:13:59.291,219.4641387664,N/A,N/A,N/A,N/A
2022/12/07 14:13:59.362,N/A,N/A,N/A,1 min 35 sec,N/A
2022/12/07 14:14:56.782,N/A,22.62029015549253,N/A,N/A,N/A
2022/12/07 14:14:58.346,N/A,N/A,N/A,0 sec,N/A
2022/12/07 14:14:59.282,219.673681072,N/A,N/A,N/A,N/A
2022/12/07 14:15:59.294,219.51230252000002,N/A,N/A,N/A,N/A
2022/12/07 14:15:59.329,N/A,N/A,N/A,1 min 1 sec,N/A
2022/12/07 14:16:59.295,219.3498247952,N/A,N/A,N/A,N/A
2022/12/07 14:16:59.369,N/A,N/A,N/A,2 min 1 sec,N/A
2022/12/07 14:17:14.790,N/A,22.5484156702294,N/A,N/A,N/A
2022/12/07 14:17:59.290,219.37960238560004,N/A,N/A,N/A,N/A
2022/12/07 14:17:59.357,N/A,N/A,N/A,43 sec,N/A
2022/12/07 14:18:24.793,N/A,22.5728877327675,N/A,N/A,N/A
2022/12/07 14:18:59.302,219.29936277119998,N/A,N/A,N/A,N/A
2022/12/07 14:18:59.361,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:19:24.787,N/A,22.580638315879597,N/A,N/A,N/A
2022/12/07 14:19:59.279,219.21672496160002,N/A,N/A,N/A,N/A
2022/12/07 14:19:59.356,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:20:24.775,N/A,22.477862860594534,N/A,N/A,N/A
2022/12/07 14:20:59.273,219.28307502880003,N/A,N/A,N/A,N/A
2022/12/07 14:20:59.354,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:21:24.763,N/A,22.7518820387889,N/A,N/A,N/A
2022/12/07 14:21:59.271,219.3033597632,N/A,N/A,N/A,N/A
2022/12/07 14:21:59.304,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:22:24.765,N/A,22.631075369307666,N/A,N/A,N/A
2022/12/07 14:22:59.264,219.34033193919998,N/A,N/A,N/A,N/A
2022/12/07 14:22:59.333,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:23:24.759,N/A,22.66562520340208,N/A,N/A,N/A
2022/12/07 14:23:59.260,219.33613509760002,N/A,N/A,N/A,N/A
2022/12/07 14:23:59.333,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:24:24.762,N/A,22.741749827461113,N/A,N/A,N/A
2022/12/07 14:24:59.262,219.2872718704,N/A,N/A,N/A,N/A
2022/12/07 14:24:59.329,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:25:24.750,N/A,22.516326717198726,N/A,N/A,N/A
2022/12/07 14:25:59.247,219.34462870560003,N/A,N/A,N/A,N/A
2022/12/07 14:25:59.319,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:26:24.749,N/A,22.65579345308995,N/A,N/A,N/A
2022/12/07 14:26:59.257,219.44944982080003,N/A,N/A,N/A,N/A
2022/12/07 14:26:59.300,N/A,N/A,N/A,33 sec,N/A
2022/12/07 14:27:50.753,N/A,22.688366720778994,N/A,N/A,N/A
2022/12/07 14:27:59.253,219.553771312,N/A,N/A,N/A,N/A
2022/12/07 14:27:59.314,N/A,N/A,N/A,7 sec,N/A
2022/12/07 14:28:59.249,219.3915933616,N/A,N/A,N/A,N/A
2022/12/07 14:28:59.337,N/A,N/A,N/A,1 min 7 sec,N/A
2022/12/07 14:29:30.739,N/A,22.66349050205182,N/A,N/A,N/A
2022/12/07 14:29:59.234,219.42157080159998,N/A,N/A,N/A,N/A
2022/12/07 14:29:59.321,N/A,N/A,N/A,27 sec,N/A
2022/12/07 14:30:41.719,N/A,22.703060031816886,N/A,N/A,N/A
2022/12/07 14:30:59.218,219.7009605424,N/A,N/A,N/A,N/A
2022/12/07 14:30:59.301,N/A,N/A,N/A,16 sec,N/A
2022/12/07 14:31:59.217,219.5401815392,N/A,N/A,N/A,N/A
2022/12/07 14:31:59.295,N/A,N/A,N/A,1 min 16 sec,N/A
2022/12/07 14:32:59.216,219.3788029872,N/A,N/A,N/A,N/A
2022/12/07 14:32:59.274,N/A,N/A,N/A,2 min 16 sec,N/A
2022/12/07 14:33:25.709,N/A,22.696746150941067,N/A,N/A,N/A
2022/12/07 14:33:59.213,219.71045339840003,N/A,N/A,N/A,N/A
2022/12/07 14:33:59.277,N/A,N/A,N/A,32 sec,N/A
2022/12/07 14:34:59.238,219.54727620000003,N/A,N/A,N/A,N/A
2022/12/07 14:34:59.308,N/A,N/A,N/A,1 min 32 sec,N/A
2022/12/07 14:35:59.243,219.38659712160003,N/A,N/A,N/A,N/A
2022/12/07 14:35:59.322,N/A,N/A,N/A,2 min 32 sec,N/A
2022/12/07 14:36:28.321,N/A,22.570308735797042,N/A,N/A,N/A
2022/12/07 14:36:59.252,219.7222445248,N/A,N/A,N/A,N/A
2022/12/07 14:36:59.313,N/A,N/A,N/A,29 sec,N/A
2022/12/07 14:37:59.267,219.5609658976,N/A,N/A,N/A,N/A
2022/12/07 14:37:59.372,N/A,N/A,N/A,1 min 29 sec,N/A
2022/12/07 14:38:59.272,219.401385992,N/A,N/A,N/A,N/A
2022/12/07 14:38:59.368,N/A,N/A,N/A,2 min 29 sec,N/A
2022/12/07 14:39:31.350,N/A,22.684316512342587,N/A,N/A,N/A
2022/12/07 14:39:59.284,219.5825496544,N/A,N/A,N/A,N/A
2022/12/07 14:39:59.363,N/A,N/A,N/A,26 sec,N/A
2022/12/07 14:40:59.279,219.4219705008,N/A,N/A,N/A,N/A
2022/12/07 14:40:59.354,N/A,N/A,N/A,1 min 26 sec,N/A
2022/12/07 14:41:40.770,N/A,22.66397459554794,N/A,N/A,N/A
2022/12/07 14:41:59.267,219.3201471296,N/A,N/A,N/A,N/A
2022/12/07 14:41:59.342,N/A,N/A,N/A,17 sec,N/A
2022/12/07 14:42:40.773,N/A,22.78346372952168,N/A,N/A,N/A
2022/12/07 14:42:59.278,219.30056186880003,N/A,N/A,N/A,N/A
2022/12/07 14:42:59.350,N/A,N/A,N/A,17 sec,N/A
2022/12/07 14:43:40.765,N/A,22.801562621884724,N/A,N/A,N/A
2022/12/07 14:43:59.270,219.2054334592,N/A,N/A,N/A,N/A
2022/12/07 14:43:59.341,N/A,N/A,N/A,17 sec,N/A
2022/12/07 14:44:40.771,N/A,22.794113284258103,N/A,N/A,N/A
2022/12/07 14:44:59.271,219.08582347360002,N/A,N/A,N/A,N/A
2022/12/07 14:44:59.345,N/A,N/A,N/A,17 sec,N/A
2022/12/07 14:45:40.772,N/A,22.710540098193487,N/A,N/A,N/A
2022/12/07 14:45:59.273,219.330939008,N/A,N/A,N/A,N/A
2022/12/07 14:45:59.335,N/A,N/A,N/A,17 sec,N/A
2022/12/07 14:46:40.768,N/A,22.676921543986722,N/A,N/A,N/A
2022/12/07 14:46:59.274,219.6695841552,N/A,N/A,N/A,N/A
2022/12/07 14:46:59.345,N/A,N/A,N/A,17 sec,N/A
2022/12/07 14:47:59.284,219.50730628,N/A,N/A,N/A,N/A
2022/12/07 14:47:59.360,N/A,N/A,N/A,1 min 17 sec,N/A
2022/12/07 14:48:59.288,219.34752652480003,N/A,N/A,N/A,N/A
2022/12/07 14:48:59.375,N/A,N/A,N/A,2 min 17 sec,N/A
2022/12/07 14:49:12.784,N/A,22.678231655195013,N/A,N/A,N/A
2022/12/07 14:49:59.279,219.5216954512,N/A,N/A,N/A,N/A
2022/12/07 14:49:59.323,N/A,N/A,N/A,45 sec,N/A
2022/12/07 14:50:59.272,219.36021697440003,N/A,N/A,N/A,N/A
2022/12/07 14:50:59.353,N/A,N/A,N/A,1 min 45 sec,N/A
2022/12/07 14:51:18.769,N/A,22.734645391064653,N/A,N/A,N/A
2022/12/07 14:51:59.287,219.6558944576,N/A,N/A,N/A,N/A
2022/12/07 14:51:59.347,N/A,N/A,N/A,39 sec,N/A
