Timestamp,ICT1400-01:PCT1402-01:InjEff:fbk,ICT1400-02:PCT1402-01:InjEff:fbk,PCT1304-01:ICT1400-01:InjEff:fbk,PCT1304-01:ICT1400-02:InjEff:fbk,PCT2403-01:BRInjEff:fbk,PS2400-02:0:adc,PS2400-02:0:dac,PS2400-02:0:dac:fbk,PS2401-06:0:adc,PS2401-06:0:dac,PS2401-06:0:dac:fbk,PS2404-06:0:dac:fbk,SEP1401-01:adc,SEP1401-01:dac
2022/12/07 13:54:51.517,N/A,N/A,N/A,N/A,N/A,1741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:54:55.730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7305,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:54:58.870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7785,N/A
2022/12/07 13:55:55.920,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7269,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:55:58.838,N/A,N/A,N/A,N/A,N/A,1748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:55:59.407,98.68949103553697,N/A,63.891156935501,N/A,63.05385759636212,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:55:59.408,N/A,100.35954578107302,N/A,62.82796230854759,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:55:59.561,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7805,N/A
2022/12/07 13:56:48.819,N/A,N/A,N/A,N/A,N/A,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:56:58.652,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7336,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:56:59.742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7807,N/A
2022/12/07 13:57:49.509,N/A,N/A,N/A,N/A,N/A,1757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:57:53.233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7296,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:57:59.923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7775,N/A
2022/12/07 13:58:34.340,N/A,N/A,N/A,N/A,63.33546577159592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:58:34.341,95.35239894383415,N/A,66.42251948889373,64.72259077059826,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:58:34.342,N/A,97.85681478060908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:58:56.984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7353,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:58:58.360,N/A,N/A,N/A,N/A,N/A,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:58:59.084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7809,N/A
2022/12/07 13:59:48.495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7319,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:59:53.951,N/A,N/A,N/A,N/A,N/A,1756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 13:59:59.775,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7785,N/A
2022/12/07 14:00:37.811,N/A,N/A,N/A,N/A,N/A,1752,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:00:53.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7270,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:00:59.956,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7782,N/A
2022/12/07 14:01:17.341,N/A,N/A,N/A,N/A,63.14071923756571,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:01:17.342,96.31105595591325,N/A,65.55915996442674,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:01:17.343,N/A,98.62195121683327,N/A,64.02298723409211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:01:53.457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7353,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:01:56.353,N/A,N/A,N/A,N/A,N/A,1751,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:01:59.628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7804,N/A
2022/12/07 14:02:56.188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7310,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:02:58.800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7781,N/A
2022/12/07 14:02:59.083,N/A,N/A,N/A,N/A,N/A,1747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:03:51.779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7267,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:03:53.654,N/A,N/A,N/A,N/A,N/A,1740,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:03:59.490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7768,N/A
2022/12/07 14:04:05.404,N/A,N/A,N/A,N/A,63.03652555724877,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:04:05.405,96.92265785177365,N/A,65.03796630675582,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:04:05.406,N/A,98.1770741684292,N/A,64.20697101759774,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:04:53.518,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7339,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:04:54.925,N/A,N/A,N/A,N/A,N/A,1769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:04:59.193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7804,N/A
2022/12/07 14:05:51.026,N/A,N/A,N/A,N/A,N/A,1765,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:05:59.331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7291,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:05:59.891,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7787,N/A
2022/12/07 14:06:51.207,N/A,N/A,N/A,N/A,N/A,1754,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:06:51.390,94.84967928118357,N/A,66.87746998598583,N/A,63.43306579307735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:06:51.391,N/A,99.45372496045026,N/A,63.78148814265404,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:06:53.921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7374,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:06:59.563,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7822,N/A
2022/12/07 14:07:48.837,N/A,N/A,N/A,N/A,N/A,1748,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:07:51.555,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7331,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:07:58.724,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7796,N/A
2022/12/07 14:08:53.264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7284,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:08:56.355,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7779,N/A
2022/12/07 14:08:57.688,N/A,N/A,N/A,N/A,N/A,1744,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:09:55.995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7246,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:09:58.379,N/A,N/A,N/A,N/A,N/A,1739,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:09:59.597,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7761,N/A
2022/12/07 14:10:08.402,N/A,N/A,N/A,N/A,63.09393556128622,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:10:08.403,95.58107383742866,N/A,66.01090888411763,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:10:08.404,N/A,97.96763196189598,N/A,64.40283826174985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:10:49.889,N/A,N/A,N/A,N/A,N/A,1755,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:10:59.236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7333,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:10:59.778,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7819,N/A
2022/12/07 14:11:42.930,N/A,N/A,N/A,N/A,N/A,1752,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:11:59.927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7283,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:11:59.959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7797,N/A
2022/12/07 14:12:24.315,N/A,N/A,64.56316425830065,N/A,63.03485612094767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:12:24.316,97.63284814969943,98.24282262876957,N/A,64.16230156490684,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:12:56.552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7346,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:12:56.881,N/A,N/A,N/A,N/A,N/A,1750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:12:59.629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7820,N/A
2022/12/07 14:13:48.902,N/A,N/A,N/A,N/A,N/A,1746,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:13:56.221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7310,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:13:59.810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7795,N/A
2022/12/07 14:14:51.301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7269,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:14:55.713,N/A,N/A,N/A,N/A,N/A,1740,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:14:58.313,N/A,N/A,65.80711932448844,N/A,63.07190849153365,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:14:58.314,95.84359433898369,97.90320788230996,N/A,64.42271898521729,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:14:59.991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7823,N/A
2022/12/07 14:15:56.082,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7336,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:15:59.152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7796,N/A
2022/12/07 14:15:59.973,N/A,N/A,N/A,N/A,N/A,1756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:16:50.974,N/A,N/A,N/A,N/A,N/A,1753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:16:56.273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7294,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:16:59.333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7782,N/A
2022/12/07 14:17:16.366,N/A,N/A,66.48025617811113,N/A,62.88220748459294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:17:16.367,94.58779357907639,N/A,N/A,63.72800337255735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:17:16.368,N/A,98.67280340948413,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:17:47.785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7347,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:17:50.136,N/A,N/A,N/A,N/A,N/A,1747,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:17:59.515,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7806,N/A
2022/12/07 14:18:26.337,N/A,N/A,N/A,N/A,61.60641573465429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:18:26.338,92.4853294443975,N/A,66.61209524229709,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:18:26.341,N/A,99.76352719338597,N/A,61.75244347088263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:18:54.086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7356,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:18:58.986,N/A,N/A,N/A,N/A,N/A,1756,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:18:59.695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7810,N/A
2022/12/07 14:19:26.344,N/A,N/A,N/A,N/A,62.45123272996428,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:19:26.345,88.67756118865319,N/A,70.42506795727631,58.82675513503668,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:19:26.346,N/A,106.16127404377077,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:19:52.536,N/A,N/A,N/A,N/A,N/A,1765,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:19:58.856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7811,N/A
2022/12/07 14:19:58.858,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7357,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:20:26.311,N/A,N/A,66.53562035735217,N/A,63.54473770050825,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:20:26.312,95.50483990262603,N/A,N/A,64.17015771915209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:20:26.313,N/A,99.0253724770616,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:20:50.367,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7361,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:20:58.838,N/A,N/A,N/A,N/A,N/A,1753,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:20:59.547,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7810,N/A
2022/12/07 14:21:26.352,N/A,N/A,68.23092501054694,N/A,63.905614950836245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:21:26.353,93.6607776326613,100.77487196266924,N/A,63.41423581714821,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:21:55.448,N/A,N/A,N/A,N/A,N/A,1759,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:21:58.199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7357,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:21:59.218,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7812,N/A
2022/12/07 14:22:26.292,N/A,N/A,N/A,N/A,62.91036121812525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:22:26.293,96.07780005293797,N/A,65.47856131537382,62.43109837377611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:22:26.294,N/A,100.76766684686498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:22:47.979,N/A,N/A,N/A,N/A,N/A,1759,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:22:55.840,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7364,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:22:59.399,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7802,N/A
2022/12/07 14:23:26.286,N/A,N/A,66.73869129419423,N/A,62.45544111549104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:23:26.287,93.58205847965768,103.45264902403702,N/A,60.3710409590185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:23:58.360,N/A,N/A,N/A,N/A,N/A,1749,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:23:58.560,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7806,N/A
2022/12/07 14:23:58.572,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7358,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:24:26.298,N/A,N/A,N/A,N/A,62.13993774561731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:24:26.299,99.4275235887051,100.7181130140403,62.49772246432211,61.69688438955849,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:24:51.910,N/A,N/A,N/A,N/A,N/A,1752,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:24:52.642,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7354,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:24:56.702,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7811,N/A
2022/12/07 14:25:26.290,96.07332942366645,N/A,65.68704365500784,N/A,63.10772983934327,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:25:26.291,N/A,100.38400985330692,N/A,62.86631698769934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:25:55.375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7345,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:25:58.721,N/A,N/A,N/A,N/A,N/A,1767,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:25:59.942,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7815,N/A
2022/12/07 14:26:26.337,N/A,N/A,66.47249664580565,N/A,63.17644642023347,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:26:26.338,95.0414827306172,98.9362422221968,N/A,63.85571657183837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:26:45.132,N/A,N/A,N/A,N/A,N/A,1761,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:26:59.113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7810,N/A
2022/12/07 14:26:59.634,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7359,N/A,N/A,N/A,N/A,N/A
2022/12/07 14:27:51.665,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7315,N/A,N/A,N/A,N/A,N/A
