Timestamp,PCT1402-01:mA:fbk,PCT1402-01:mAChange,PCT1402-01:timeConstant
2022/12/07 13:44:06.898,N/A,N/A,22.49395772862618
2022/12/07 13:45:59.384,219.0074810314528,N/A,N/A
2022/12/07 13:45:59.449,N/A,-0.0034973679999836804,N/A
2022/12/07 13:46:00.882,N/A,N/A,22.51653834002967
2022/12/07 13:46:59.361,219.2707828794528,N/A,N/A
2022/12/07 13:46:59.422,N/A,-0.0027978944000039974,N/A
2022/12/07 13:47:59.353,219.1082052298528,N/A,N/A
2022/12/07 13:47:59.377,N/A,-0.0035972928000091997,N/A
2022/12/07 13:48:37.839,N/A,N/A,22.593502778113834
2022/12/07 13:48:59.338,219.38349805385283,N/A,N/A
2022/12/07 13:48:59.400,N/A,-0.0017986463999761781,N/A
2022/12/07 13:49:59.338,219.2201210058528,N/A,N/A
2022/12/07 13:49:59.385,N/A,-0.004496615999983078,N/A
2022/12/07 13:50:59.344,219.06044117545278,N/A,N/A
2022/12/07 13:50:59.413,N/A,-0.0023981952000440288,N/A
2022/12/07 13:51:19.838,N/A,N/A,22.62247346100626
2022/12/07 13:51:59.334,219.2257167946528,N/A,N/A
2022/12/07 13:51:59.365,N/A,-0.00219834559999299,N/A
2022/12/07 13:52:59.319,219.0620399722528,N/A,N/A
2022/12/07 13:52:59.335,N/A,-0.002797894400032419,N/A
2022/12/07 13:53:21.818,N/A,N/A,22.51896302949463
2022/12/07 13:53:59.324,219.32534182025282,N/A,N/A
2022/12/07 13:53:59.387,N/A,-0.0016987216000075023,N/A
2022/12/07 13:54:59.318,219.1636634938528,N/A,N/A
2022/12/07 13:54:59.371,N/A,-0.0014988720000417288,N/A
2022/12/07 13:55:57.804,N/A,N/A,22.550313472437917
2022/12/07 13:55:59.312,219.41927113225282,N/A,N/A
2022/12/07 13:55:59.337,N/A,0.41578709280000226,N/A
2022/12/07 13:56:59.319,219.2566934826528,N/A,N/A
2022/12/07 13:56:59.370,N/A,-0.0026979696000353215,N/A
2022/12/07 13:57:59.308,219.0977131258528,N/A,N/A
2022/12/07 13:57:59.385,N/A,-0.0022982704000185095,N/A
2022/12/07 13:58:32.804,N/A,N/A,22.72833271811904
2022/12/07 13:58:59.311,219.36990828105283,N/A,N/A
2022/12/07 13:58:59.377,N/A,-0.0031975935999923877,N/A
2022/12/07 13:59:59.314,219.2097288266528,N/A,N/A
2022/12/07 13:59:59.364,N/A,-0.0013989472000162095,N/A
2022/12/07 14:00:59.321,219.04894982345283,N/A,N/A
2022/12/07 14:00:59.342,N/A,-0.002897819200001095,N/A
2022/12/07 14:01:15.814,N/A,N/A,22.748626363416367
2022/12/07 14:01:59.320,219.33783242025282,N/A,N/A
2022/12/07 14:01:59.370,N/A,-0.002298270399961666,N/A
2022/12/07 14:02:59.335,219.17695349225278,N/A,N/A
2022/12/07 14:02:59.372,N/A,-0.0029977440000266142,N/A
2022/12/07 14:03:59.346,219.0156748650528,N/A,N/A
2022/12/07 14:03:59.416,N/A,-0.0016987216000075023,N/A
2022/12/07 14:04:03.843,N/A,N/A,22.682602664650744
2022/12/07 14:04:59.351,219.30165964265282,N/A,N/A
2022/12/07 14:04:59.409,N/A,-0.0025980447999813805,N/A
2022/12/07 14:05:59.356,219.1376830458528,N/A,N/A
2022/12/07 14:05:59.421,N/A,-0.0022982704000185095,N/A
2022/12/07 14:06:49.845,N/A,N/A,22.562639316187
2022/12/07 14:06:59.348,219.5094033018528,N/A,N/A
2022/12/07 14:06:59.369,N/A,-0.0029977439999981925,N/A
2022/12/07 14:07:59.334,219.3460262538528,N/A,N/A
2022/12/07 14:07:59.389,N/A,-0.002697969599978478,N/A
2022/12/07 14:08:59.320,219.1866461978528,N/A,N/A
2022/12/07 14:08:59.346,N/A,-0.0022982704000185095,N/A
2022/12/07 14:09:59.317,219.0253675706528,N/A,N/A
2022/12/07 14:09:59.375,N/A,-0.0013989472000162095,N/A
2022/12/07 14:09:59.394,N/A,N/A,22.61157344813679
2022/12/07 14:10:06.395,N/A,N/A,22.613997615877214
2022/12/07 14:10:59.301,219.23231183145282,N/A,N/A
2022/12/07 14:10:59.361,N/A,-0.002398195200015607,N/A
2022/12/07 14:11:59.291,219.0691346330528,N/A,N/A
2022/12/07 14:11:59.356,N/A,-0.0027978943999755757,N/A
2022/12/07 14:12:22.792,N/A,N/A,22.61781626867231
2022/12/07 14:12:59.302,219.3195461818528,N/A,N/A
2022/12/07 14:12:59.353,N/A,-0.004296766400045726,N/A
2022/12/07 14:13:59.292,219.1585673290528,N/A,N/A
2022/12/07 14:13:59.344,N/A,-0.0018985712000016974,N/A
2022/12/07 14:14:56.782,N/A,N/A,22.62029015549253
2022/12/07 14:14:59.282,219.3681096346528,N/A,N/A
2022/12/07 14:14:59.321,N/A,-0.003097668800023712,N/A
2022/12/07 14:15:59.295,219.20673108265282,N/A,N/A
2022/12/07 14:15:59.316,N/A,-0.00309766879999529,N/A
2022/12/07 14:16:59.295,219.0442533578528,N/A,N/A
2022/12/07 14:16:59.347,N/A,-0.002897819200001095,N/A
2022/12/07 14:17:14.790,N/A,N/A,22.5484156702294
2022/12/07 14:17:59.291,219.07403094825284,N/A,N/A
2022/12/07 14:17:59.345,N/A,-0.0018985711999732757,N/A
2022/12/07 14:18:24.793,N/A,N/A,22.5728877327675
2022/12/07 14:18:59.303,218.99379133385278,N/A,N/A
2022/12/07 14:18:59.345,N/A,-0.0022982704000185095,N/A
2022/12/07 14:19:24.787,N/A,N/A,22.580638315879597
