Timestamp,ICT1400-01:PCT1402-01:InjEff:fbk,ICT1400-01:adc1:integral:fixed:idx,ICT1400-01:adc1:min_integral_idx,ICT1400-01:adc1:sig_charge,ICT1400-01:adc1:sig_charge:fixed,ICT1400-01:au:fbk,ICT1400-02:PCT1402-01:InjEff:fbk,ICT1400-02:adc5:integral:fixed:idx,ICT1400-02:adc5:min_integral_idx,ICT1400-02:adc5:sig_charge,ICT1400-02:adc5:sig_charge:fixed,ICT1400-02:au:fbk,PCT1304-01:ICT1400-01:InjEff:fbk,PCT1304-01:ICT1400-02:InjEff:fbk,PCT1402-01:mA:fbk,PCT2403-01:BRInjEff:fbk,PCT2403-01:mABR:fbk,TRG2400:bucket:delay:first
2022/12/01 13:59:56.643,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,330
2022/12/01 13:59:57.171,N/A,40984,N/A,N/A,N/A,N/A,N/A,40881,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 13:59:58.176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.31748242740301,N/A,N/A
2022/12/01 13:59:58.177,94.67759088680533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.8207310132221,65.16247356561307,N/A,N/A,N/A,N/A
2022/12/01 13:59:58.178,N/A,N/A,N/A,N/A,N/A,N/A,95.63400377159502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 13:59:59.148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,219.55801301983522,N/A,N/A,N/A
2022/12/01 13:59:59.449,N/A,N/A,41781,0.058971092632084166,0.034936948197488715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 13:59:59.465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43413,0.047001086014478596,0.012939831503268981,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 13:59:59.622,N/A,N/A,N/A,N/A,N/A,-0.0036258192133577596,N/A,N/A,N/A,N/A,N/A,0.012645751384256389,N/A,N/A,N/A,N/A,0.05405816539784375,N/A
2022/12/01 14:03:35.529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,396
2022/12/01 14:03:36.060,N/A,41001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 14:03:36.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 14:03:37.064,95.19326944580725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.2067549344253,N/A,N/A,62.072441921594695,N/A,N/A
2022/12/01 14:03:37.065,N/A,N/A,N/A,N/A,N/A,N/A,96.44644412365521,N/A,N/A,N/A,N/A,N/A,N/A,64.35949244744661,N/A,N/A,N/A,N/A
2022/12/01 14:04:59.018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,219.4350055910352,N/A,N/A,N/A
2022/12/01 14:04:59.318,N/A,N/A,43819,0.06504012683556493,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 14:04:59.319,N/A,N/A,N/A,N/A,0.005112794382405278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 14:04:59.336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44071,0.12232931979081307,0.004112363420021747,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022/12/01 14:04:59.508,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05676860193021875,N/A
2022/12/01 14:04:59.509,N/A,N/A,N/A,N/A,N/A,-0.006813783181246438,N/A,N/A,N/A,N/A,N/A,0.012229646533175532,N/A,N/A,N/A,N/A,N/A,N/A
